ID,limite_credito,sexo,educacao,estado_civil,idade,status_pagamento_mes_09,status_pagamento_mes_08,status_pagamento_mes_07,status_pagamento_mes_06,status_pagamento_mes_05,status_pagamento_mes_04,fatura_mes_09,fatura_mes_08,fatura_mes_07,fatura_mes_06,fatura_mes_05,fatura_mes_04,pago_mes_09,pago_mes_08,pago_mes_07,pago_mes_06,pago_mes_05,pago_mes_04,default
12983,12969.72,feminino,pos_graduacao,solteiro,28,1,2,2,0,0,0,272.0,401.34,340.24,622.76,560.8,893.33,144.47,2.23,360.27,72.05,360.27,360.27,0
29445,7205.4,masculino,pos_graduacao,solteiro,29,-2,-2,-2,-2,-2,-2,28.1,28.1,28.1,56.2,0.0,43.16,28.1,28.1,56.2,0.0,43.16,0.0,1
12393,2161.62,feminino,ensino_medio,casado,47,2,2,2,2,2,2,2022.77,2054.62,1956.27,2024.72,2025.01,2030.55,129.7,0.0,165.72,86.46,93.67,0.0,1
5592,2161.62,feminino,ensino_medio,solteiro,49,0,0,2,0,0,0,2005.84,2213.14,2112.77,2018.59,2061.46,2081.21,239.94,0.0,82.72,86.1,65.57,72.05,0
7283,10808.1,feminino,graduacao,solteiro,30,0,0,-2,-2,-2,-2,4726.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
18239,5764.32,masculino,ensino_medio,casado,52,0,0,2,2,0,0,1967.65,2128.19,2288.15,2229.78,2293.48,0.0,216.16,216.16,0.0,122.49,0.0,0.0,0
18319,12969.72,feminino,graduacao,casado,30,1,-1,-1,-1,0,0,114.64,10.81,636.53,1409.74,1021.01,649.71,10.81,638.18,1409.74,36.17,216.16,195.05,0
22940,25939.44,feminino,graduacao,solteiro,33,0,0,0,0,0,0,515.69,608.57,650.94,600.93,226.54,0.0,144.11,108.15,72.05,64.85,0.0,0.0,0
16705,3602.7,masculino,ensino_medio,solteiro,42,2,0,0,0,0,2,350.47,423.39,497.03,569.95,625.5,605.04,90.21,91.8,92.66,76.16,0.0,22.05,0
25911,15851.88,feminino,graduacao,casado,40,0,0,-2,-1,0,0,1579.42,0.0,0.0,414.45,610.87,672.7,0.0,0.0,414.45,216.16,72.05,144.11,0
4120,18013.5,masculino,graduacao,casado,47,-1,-1,-1,-1,-1,-1,773.5,1379.62,302.05,428.51,392.91,0.0,1388.41,302.05,429.87,392.91,0.0,0.0,0
23317,25939.44,feminino,graduacao,solteiro,27,0,0,0,0,0,0,15470.79,12944.57,10037.84,10319.21,12165.53,12332.26,752.24,962.64,441.19,2017.66,440.68,724.58,0
6415,10087.56,feminino,pos_graduacao,casado,33,1,-1,-1,-2,-2,-2,0.0,60.53,0.0,0.0,0.0,0.0,60.53,0.0,0.0,0.0,0.0,0.0,0
29351,12969.72,masculino,pos_graduacao,solteiro,28,-2,-2,-2,-2,-2,-2,184.89,522.75,1799.48,1819.8,2134.74,1280.04,522.75,1804.45,1819.8,2134.74,1280.04,499.48,0
18078,25218.9,masculino,graduacao,solteiro,32,0,0,0,0,0,0,16419.16,16428.96,15884.3,13702.73,13881.13,14214.02,731.78,648.49,626.87,504.38,547.61,562.02,1
679,21616.2,feminino,graduacao,solteiro,31,-1,-1,-1,-1,0,-1,241.02,78.03,312.64,534.86,292.47,180.71,78.32,313.8,534.86,0.0,180.71,298.38,0
2366,9367.02,masculino,ensino_medio,solteiro,49,2,0,0,0,0,0,4342.91,4455.75,4494.01,4570.31,1929.53,1983.0,182.73,133.8,121.12,69.96,85.46,122.35,1
19075,18734.04,feminino,pos_graduacao,casado,37,0,0,0,0,0,0,12607.36,11649.04,11261.75,11258.29,8683.8,8837.35,720.54,576.43,362.29,360.27,360.27,720.54,0
12142,17292.96,masculino,graduacao,casado,50,-1,-1,-1,-1,-1,-1,30.19,30.19,30.19,30.19,30.19,30.19,30.19,30.19,30.19,30.19,30.19,30.19,0
