ID,limite_credito,sexo,educacao,estado_civil,idade,status_pagamento_mes_09,status_pagamento_mes_08,status_pagamento_mes_07,status_pagamento_mes_06,status_pagamento_mes_05,status_pagamento_mes_04,fatura_mes_09,fatura_mes_08,fatura_mes_07,fatura_mes_06,fatura_mes_05,fatura_mes_04,pago_mes_09,pago_mes_08,pago_mes_07,pago_mes_06,pago_mes_05,pago_mes_04,default
23834,5764.32,feminino,ensino_medio,casado,50,2,3,2,2,2,0,193.39,180.28,167.24,306.01,282.02,233.6,0.0,0.0,144.18,0.29,77.31,1662.72,0
27013,36027.0,masculino,pos_graduacao,casado,43,0,0,0,0,0,0,8960.78,9140.77,9336.47,9357.15,8702.75,7073.04,329.07,344.92,341.9,306.66,239.29,239.65,0
12497,4323.24,feminino,pos_graduacao,solteiro,31,0,-1,2,2,2,2,260.11,61.61,8.0,29.61,18.81,482.4,64.85,0.0,21.62,0.0,468.35,0.0,0
25520,20175.12,feminino,graduacao,solteiro,34,-1,-1,2,-1,-1,-1,2.74,2461.58,2363.37,9453.48,284.61,0.0,2461.58,0.0,9453.48,284.61,0.0,51.59,0
18881,28821.6,feminino,pos_graduacao,solteiro,30,-2,-2,-1,-1,0,0,209.82,192.24,232.16,1567.53,1099.4,1153.01,192.24,232.16,1567.53,36.03,72.05,34.23,0
26331,12969.72,feminino,graduacao,casado,48,-2,-1,-1,-1,-1,-1,-1.08,152.47,107.65,560.58,606.41,0.0,153.55,107.65,560.58,606.41,0.0,94.82,0
22200,7205.4,feminino,graduacao,casado,31,0,0,0,0,0,-1,6570.75,6578.89,7437.13,6397.1,2532.41,2871.28,288.22,1086.14,1167.06,944.77,3107.11,3098.32,0
28898,10808.1,feminino,graduacao,casado,41,-2,-2,-2,-2,-2,-2,794.47,681.56,715.42,114.93,261.56,253.34,694.6,718.81,114.93,262.78,253.34,797.71,0
17524,14410.8,feminino,graduacao,casado,37,1,2,0,0,0,0,564.98,545.38,668.81,731.71,898.51,977.84,0.0,144.11,83.22,177.97,91.15,0.0,0
16245,3602.7,feminino,ensino_medio,casado,43,0,0,0,0,0,0,233.31,336.64,206.43,279.43,346.51,412.58,108.08,76.09,77.03,72.05,72.05,18.37,0
20442,16572.42,masculino,graduacao,solteiro,27,0,0,0,0,0,0,10630.13,10830.65,10553.32,10392.13,9629.15,9842.94,489.97,483.27,723.28,344.56,368.84,405.81,0
2709,14410.8,masculino,pos_graduacao,solteiro,26,0,0,0,0,0,0,1211.3,1534.03,1456.0,1719.06,2394.79,2402.06,361.93,288.72,360.34,721.98,365.53,364.88,0
13384,7925.94,masculino,graduacao,solteiro,27,0,0,0,0,0,0,2142.45,2287.21,2392.34,2497.1,2781.0,2952.05,180.14,144.11,144.11,324.24,288.22,108.08,0
19129,3602.7,feminino,ensino_medio,casado,45,0,0,0,0,0,0,3545.92,3053.36,1441.73,1504.27,1415.28,1352.38,116.08,122.49,111.47,56.56,72.05,63.98,0
6727,11528.64,masculino,graduacao,solteiro,34,2,2,2,2,2,2,5319.03,5212.46,5542.18,5430.71,5904.32,5778.95,0.0,396.3,0.0,540.41,0.0,144.11,1
4442,3602.7,masculino,graduacao,casado,49,0,0,0,0,0,0,2566.78,907.95,758.51,769.46,773.43,832.22,84.16,108.08,72.05,72.05,72.05,72.05,0
