,limite_credito,educacao,estado_civil,idade,status_pagamento_mes_09,status_pagamento_mes_08,status_pagamento_mes_07,status_pagamento_mes_06,status_pagamento_mes_05,status_pagamento_mes_04,fatura_mes_09,fatura_mes_08,fatura_mes_07,fatura_mes_06,fatura_mes_05,fatura_mes_04,pago_mes_09,pago_mes_08,pago_mes_07,pago_mes_06,pago_mes_05,pago_mes_04,media_3_meses,media_6_meses,IU,Prediction
0,10808.1,1,1,30,-1,-1,-2,-2,-1,-1,3.96,-6.77,-14.99,-14.99,71.55,0,0,17.22,0,86.54,0,157.37,-5.933333333333334,6.46,-0.0005489709878085264,0.10361897337462604
1,9367.02,1,1,23,-1,-1,-2,-2,-2,-2,4.97,0,0,0,0,0,0,0,0,0,0,0,1.6566666666666665,0.8283333333333333,0.0001768616557524876,0.11825007525894979
2,10087.56,2,0,33,1,-1,-1,-2,-2,-2,0,60.53,0,0,0,0,60.53,0,0,0,0,0,20.176666666666666,10.088333333333333,0.002000153324160319,0.23818273418747843
3,7205.4,2,1,29,-2,-2,-2,-2,-2,-2,28.1,28.1,28.1,56.2,0,43.16,28.1,28.1,56.2,0,43.16,0,28.100000000000005,30.61,0.003899852888111695,0.09449049557319542
4,17292.96,1,0,50,-1,-1,-1,-1,-1,-1,30.19,30.19,30.19,30.19,30.19,30.19,30.19,30.19,30.19,30.19,30.19,30.19,30.19,30.19,0.0017457971336312583,0.3447530409583475
5,15131.34,1,0,35,-1,-1,2,0,-1,-1,28.53,85.6,57.07,28.53,28.53,28.53,85.6,0,0,28.53,28.53,28.53,57.06666666666666,42.798333333333325,0.003771421874511224,0.40353035407417615
6,14410.8,2,0,34,-1,-1,-1,-1,-1,-1,361.93,44.53,43.59,223.22,58,155.2,44.75,43.81,224.38,72.27,155.92,87.19,150.01666666666668,147.745,0.010410016561652836,0.12980082443586957
7,2161.62,1,0,30,-1,2,-1,-1,-1,-1,359.84,63.84,67.51,0,78.03,244.62,0,72.05,28.68,78.03,244.62,531.97,163.73,135.64,0.07574411783754777,0.17469905870958735
8,14410.8,2,0,38,-1,-1,-1,-1,-1,-1,445.73,52.96,105.42,1120.44,363.51,483.41,52.96,105.42,1120.44,363.51,483.41,217.68,201.37,428.5783333333334,0.01397354761706498,0.05973090316275447
9,21616.2,1,1,31,-1,-1,-1,-1,0,-1,241.02,78.03,312.64,534.86,292.47,180.71,78.32,313.8,534.86,0,180.71,298.38,210.56333333333336,273.28833333333336,0.009740996721594607,0.04574450144463918
